doc_id	sentence_id	token_id	token	lemma	pos	tag	gender	number	head_token_id	dep_rel	intensifier_lemma	intensifier	text	account
text838	4	20	vista	visto	ADJ	ADJ	Masc	Sing	3	acl:relcl	bem	1	Ser respeitada. Para proteger o direito dos artistas e suas criações. Adorarei liberar a minha parte quando receber um pedido formal. Mas já aviso, para os outros pedidos, que essa tática que foi utilizada não é muito bem vista lá fora nesse tipo de negociação. Mil fake beijos	anitta
text2537	2	3	triste	triste	ADJ	ADJ	Masc	Sing	1	xcomp	bem	1	Eu chorei mto hoje pq eu e meus amigos corremos muitos pra entregar bem esse material. Fiquei bem triste. Ela me disse que em momentos assim temos que entender a nossa decepção não é a coisa mais importante, que esses momentos foram especiais pra quem tava em casa ❤️	whindersson
text1708	2	9	toscos	tosco	ADJ	ADJ	Masc	Plur	10	amod	bem	1	Bem aquele video do @FabioPorchat ensinando como discutir com bolsanarista. Tem que ser debate vazio... dos bem toscos tipo... ""falou seu brocha"", ""ja é, pau pequeno""... que loucura. Uma galera que se diz superior em nível de formação. Confuso	anitta
text1914	1	8	sucedidas	sucedido	ADJ	ADJ	Fem	Plur	1	acl:relcl	bem	1	Rodrigo Mussi: 'Cirurgias foram bem sucedidas, diz irmão https://t.co/R2qxKeYTBw	oglobo
text1506	3	15	relax	relax	ADJ	ADJ	Masc	Sing	11	conj	bem	1	Vocês são babadeiros, sim! BEATS liberada por conta da patroa no @ZeDelivery hoje! Enquanto o parquinho pega fogo no #BeatsMandaJobs, você toma sua @BeatsOficial bem relax. O programa tá babado e vocês que gostam de uma boa treta vão amar! #Publicidade #BebaComModeração https://t.co/8NS9pWWnKf	anitta
text267	1	4	rápido	rápido	ADJ	ADJ	Masc	Sing	1	advmod	bem	1	Espero q bem rápido https://t.co/TtYXSJLNZk	whindersson
text410	1	23	positivo	positivar	ADJ	ADJ	Masc	Sing	21	amod	bem	1	Daí to aqui assistindo uma treta e revivendo certas conversas que tive na vida (e que me trouxe um lado bem positivo pra vida pq antes eu vivia tensa com o trabalho etc etc)	anitta
text762	3	23	pequeninho	pequeno	ADJ	ADJ	Masc	Sing	17	conj	bem	1	A primeira vez q encostei nele foi como se eu encostasse em um pedaço de Deus. A tanto tempo eu não me sentia vivo. Ele como diz no interior é minha cara cagado e cuspido, até o pé é igual, mas ele é bem pequeninho pq veio um pouco antes do esperado + https://t.co/UcF3ZpFb55	whindersson
text18	1	11	pálido	pálido	ADJ	ADJ	Masc	Sing	21	parataxis	bem	1	Ele não conseguia respirar, seu rosto estava bem pálido e ele tinha um olhar de desespero”, conta a professora; veja o vídeo ==&gt; https://t.co/58j9dhxfER #g1	g1
text1931	1	8	pago	pagar	ADJ	ADJ	Masc	Sing	5	acl	bem	1	Tite é o terceiro técnico mais bem pago da Copa do Mundo; alemão lidera com quase R$ 3 milhões por mês; veja ranking. https://t.co/F5IWszUq6whttps://t.co/KMBJAdQpVL	oglobo
text1936	1	8	pago	pagar	ADJ	ADJ	Masc	Sing	5	acl	bem	1	Tite é o terceiro técnico mais bem pago da Copa do Mundo; alemão lidera com quase R$ 3 milhões por mês; veja ranking https://t.co/F5IWszUq6w	oglobo
text2523	1	7	melhor	melhor	ADJ	ADJ	Masc	Sing	7	ROOT	bem	1	Pra mim toda mulher é bem melhor em Reggae, até girassol 😂	whindersson
text1177	2	16	lindo	lindar	ADJ	ADJ	Masc	Sing	9	ccomp	bem	1	Mas prometo que o próximo (que já é certo, já tenho o show pra gravar) eu quero no Teatro Amazonas, e quero mostrar ele como ele é, bem lindo e entupido!	whindersson
text1397	1	12	lento	lentar	ADJ	ADJ	Masc	Sing	10	amod	bem	1	“Olha o caminhar do elemento, é um passo bem lento, vai fechando o tempo” https://t.co/jphy2uTS65	whindersson
text2370	2	6	legal	legal	ADJ	ADJ	Masc	Sing	2	advcl	bem	1	Galera, hoje vai ao ar o especial de Natal do @caldeiraodohuck e eu vou estar lá! Não percam porque tá bem legal! Às 16h na @RedeGlobo 😘 https://t.co/rLEESQuc5M	anitta
text116	1	25	gostosinha	gostosinha	ADJ	ADJ	Fem	Sing	23	amod	bem	1	preciso parar pq eu faço meu show com mto carinho, eu me dedico mto, e não é fácil fazer uma coisa bem gostosinha de ver por mais de uma hora e achar pouco, é um processo onde conto minha vida, lembro de tudo, hoje eu olho pra trás e não vejo mais tantas histórias engraçadas	whindersson
text1765	6	6	felizes	feliz	ADJ	ADJ	Masc	Plur	1	conj	bem	1	Não to nem aí pra idade dela nem se eu aparento ter a idade que tenho <linebreak>  <linebreak> A pergunta q não quer calar é <linebreak>  <linebreak> Que lugar feliz é esse?????? É alguma parte do céu???? <linebreak> Olha as pessoas só bem felizes consigo msm vivendo a vida de boa gente https://t.co/nBt1IDtDaF	whindersson
text1560	1	5	feito	fazer	ADJ	ADJ	Masc	Sing	1	acl	bem	1	Faz o básico bem feito q tá bom	whindersson
text1626	1	30	feitas	feito	ADJ	ADJ	Fem	Plur	28	acl	bem	1	Já fui em Cuba, passei três dia, la, é bonito, mas tem umas ruas que tão literalmente caindo aos pedaços do lado de outras bem feitas, meio estranho, aí vc entra num prédio caindo aos pedaços e dentro lindo, bonito por dentro e derrubado por fora parece eu	whindersson
text1546	1	13	fácil	fácil	ADJ	ADJ	Masc	Sing	8	conj	bem	1	Ter um título de eleitor não é coisa de cringe e bem fácil e simples de tirar. Basta preencher todos os campos indicados com dados pessoais solicitados no TítuloNet (https://t.co/wIFkKnjYtP), como nome completo, e-mail, RG e local de nascimento, foto e comprovante de residência	oglobo
text1469	2	23	exclusivo	exclusivo	ADJ	ADJ	Masc	Sing	23	ROOT	bem	1	Bom dia meu príncipes, hoje saibam documentário q eu fiz com mto carinho mostrando como eu crio um show tá? Mto bom pra vc q quer começar na comédia, ou pra vc q tem curiosidade sobre comprei trabalho, é bem exclusivo, espero que vocês gostem tá? ❤️	whindersson
text968	1	9	educado	educar	ADJ	ADJ	Masc	Sing	7	acl	bem	1	Pois eu sou do Piauí e mto bem educado	whindersson
text110	1	3	dançante	dançante	ADJ	ADJ	Masc	Sing	3	ROOT	bem	1	É bem dançante. A letra fala sobre um flerte entre os dois. Tem inglês e espanhol misturados.	anitta
text999	2	5	criativo	criativo	ADJ	ADJ	Masc	Sing	3	amod	bem	1	Atenção em como faz pra participar:  <linebreak> Grava um reels bem criativo com a versão de movimento da sanfoninha que está lá no perfil da Beats no insta e posta usando #ProntaProKaraoke #BeatsDrinks e marca @BeatsOficial  <linebreak> Dia 24 conto quem ganhou!!  <linebreak> #publicidade *bebacommoderação	anitta
text2079	1	5	conservado	conservar	ADJ	ADJ	Masc	Sing	5	ROOT	bem	1	É o mais bem conservado já encontrado no local, e ainda não se sabe quem foi enterrado nele. https://t.co/2tfAw7Fhhr #g1	g1
text266	1	24	claro	claro	ADJ	ADJ	Masc	Sing	22	xcomp	bem	1	Eu cuidei tanto pra não pensarem nada ruim, contei como ela me ajudou, até com minha auto estima, deixei bem claro q ela não tinha nada a ver com meu fundo de poço, de vdd, não me sinto seguro mais pra falar nada, não quero mais essa vida pra mim https://t.co/3F8hFWx2rr	whindersson
text2501	1	4	clara	claro	ADJ	ADJ	Fem	Sing	4	ROOT	bem	1	Manu tá bem clara que está ali pra evoluir como pessoa, e conseguiu, um vez eu vi ela num restaurante e fiquei com vergonha de falar, pq ela é a “Mano Gavassi ~voz de musga”, mas hj eu acho que vou lá correndo falar com ela pq ela é mto legal	whindersson
text794	4	4	cheinho	cheinho	ADJ	ADJ	Masc	Sing	4	ROOT	bem	1	Vcs queriam me pintar de bolsominion 😧😧 <linebreak> Passado  <linebreak>  <linebreak> Foram mto perverso vcs não são burro eu tava bem cheinho não foto, outra época mas vcs fizeram de conta q não 😧😧😧😧 <linebreak>  <linebreak> Articulados 😧😧😧	whindersson
text2035	2	3	caliente	caliente	ADJ	ADJ	Masc	Sing	1	advmod	bem	1	Vocês pediram e o episódio 2 de #IlhadosComBEATS chegou bem caliente! 🔥🏝️ Corre lá no Instagram da @beatsoficial pra conferir. #publicidade #BebaComModeração https://t.co/eJxUFz9B1m	anitta
